age,qx_male,qx_female,px_male,px_female,ex_male,ex_female,Ex_male,Ex_female,dx_male,dx_female
0,0.009791,0.00788,0.990209,0.99212,73.74,78.37,7044346,6335621,100111,70861
1,0.002526,0.002096,0.997474,0.997904,73.47,77.99,7306875,6503947,11879,9232
2,0.001079,0.0009,0.998921,0.9991,72.65,77.15,7871143,6943574,7073,5051
3,0.000701,0.00058,0.999299,0.99942,71.73,76.22,8419927,7372649,6121,4438
4,0.000598,0.000489,0.999402,0.999511,70.78,75.27,8911682,7769484,6551,4551
5,0.000578,0.00047,0.999422,0.99953,69.82,74.3,9358986,8163646,5690,4153
6,0.000575,0.000469,0.999425,0.999531,68.86,73.34,9846267,8614486,5614,3993
7,0.000566,0.000465,0.999434,0.999535,67.9,72.37,10243673,9002949,5607,4055
8,0.000547,0.000454,0.999453,0.999546,66.94,71.41,10579001,9345116,6020,4500
9,0.000523,0.00044,0.999477,0.99956,65.98,70.44,10841681,9629332,5458,4080
10,0.000507,0.000432,0.999493,0.999568,65.01,69.47,11022771,9831646,5512,3975
11,0.000504,0.000437,0.999496,0.999563,64.05,68.5,11133314,9971783,5421,4320
12,0.000517,0.000452,0.999483,0.999548,63.08,67.53,11173337,10038357,6047,4795
13,0.000543,0.000473,0.999457,0.999527,62.11,66.56,11172614,10066901,5995,4752
14,0.000578,0.000498,0.999422,0.999502,61.14,65.59,11214073,10149158,6286,4975
15,0.00062,0.000527,0.99938,0.999473,60.18,64.63,11302882,10289114,7123,5380
16,0.000661,0.000558,0.999339,0.999442,59.22,63.66,11283282,10341629,7962,6057
17,0.000697,0.00059,0.999303,0.99941,58.26,62.7,11419933,10546582,7705,6028
18,0.000734,0.000628,0.999266,0.999372,57.3,61.73,11645478,10836160,8142,6687
19,0.000776,0.000673,0.999224,0.999327,56.34,60.77,11539784,10794227,8984,7139
20,0.000822,0.00072,0.999178,0.99928,55.38,59.81,11366129,10691312,10012,8233
21,0.000865,0.000767,0.999135,0.999233,54.43,58.85,11304128,10692773,9480,8008
22,0.000913,0.000815,0.999087,0.999185,53.47,57.9,11179287,10625732,9880,8462
23,0.000967,0.000866,0.999033,0.999134,52.52,56.95,10919518,10430376,10492,8886
24,0.001023,0.000918,0.998977,0.999082,51.57,56.0,10839374,10411863,11886,10170
25,0.001076,0.000967,0.998924,0.999033,50.63,55.05,10761894,10386722,11292,9877
26,0.001132,0.001017,0.998868,0.998983,49.68,54.1,10602609,10266034,11573,10046
27,0.001196,0.001073,0.998804,0.998927,48.74,53.16,10390411,10082741,12327,10752
28,0.001263,0.001129,0.998737,0.998871,47.8,52.21,10272875,9987543,13828,11949
29,0.001327,0.001181,0.998673,0.998819,46.86,51.27,10129830,9871089,13247,11526
30,0.001393,0.001234,0.998607,0.998766,45.92,50.33,9974162,9727446,13387,11559
31,0.001468,0.001292,0.998532,0.998708,44.98,49.4,9901433,9663111,14346,12410
32,0.001549,0.001354,0.998451,0.998646,44.05,48.46,9917035,9699452,16436,13899
33,0.001632,0.001417,0.998368,0.998583,43.12,47.53,9897710,9699946,15853,13519
34,0.001728,0.001489,0.998272,0.998511,42.19,46.59,9932422,9754861,16564,14182
35,0.001846,0.001578,0.998154,0.998422,41.26,45.66,10107293,9969873,18281,15314
36,0.001981,0.001682,0.998019,0.998318,40.34,44.73,10198132,10084537,21678,18074
37,0.002123,0.001793,0.997877,0.998207,39.42,43.81,10163301,10064716,21217,17868
38,0.002282,0.001917,0.997718,0.998083,38.5,42.89,10175883,10089690,22613,18772
39,0.002468,0.002065,0.997532,0.997935,37.59,41.97,10049069,9984029,24247,20318
40,0.002681,0.002233,0.997319,0.997767,36.68,41.06,9743145,9686907,27905,23027
41,0.002911,0.002418,0.997089,0.997582,35.78,40.15,9460050,9422472,26993,22177
42,0.003171,0.002631,0.996829,0.997369,34.89,39.25,9278367,9285585,28635,23832
43,0.003475,0.002881,0.996525,0.997119,34.0,38.35,8979485,9036929,30604,25692
44,0.003816,0.003161,0.996184,0.996839,33.12,37.46,8744051,8814150,35620,29815
45,0.004182,0.003458,0.995818,0.996542,32.24,36.58,8662839,8734322,35736,29581
46,0.00459,0.003791,0.99541,0.996209,31.38,35.71,8503918,8557350,37985,31438
47,0.005064,0.004176,0.994936,0.995824,30.52,34.84,8301778,8304320,41283,34173
48,0.005611,0.00461,0.994389,0.99539,29.68,33.99,8254305,8201328,49068,40168
49,0.006223,0.005079,0.993777,0.994921,28.85,33.15,8164487,8092123,49994,40657
50,0.006927,0.005598,0.993073,0.994402,28.03,32.32,7860564,7799933,52737,41776
51,0.007738,0.006179,0.992262,0.993821,27.22,31.5,7490478,7477189,56877,45705
52,0.008626,0.006796,0.991374,0.993204,26.43,30.69,7244325,7313839,66907,53680
53,0.009534,0.007411,0.990466,0.992589,25.66,29.9,6891946,7047492,64757,50956
54,0.010457,0.008042,0.989543,0.991958,24.91,29.13,6534884,6726190,66502,52374
55,0.011404,0.008711,0.988596,0.991289,24.17,28.36,6302990,6505723,70574,55362
56,0.012364,0.009402,0.987636,0.990598,23.45,27.61,6089598,6270734,80066,63577
57,0.013315,0.010081,0.986685,0.989919,22.75,26.87,5839190,6009711,76831,59551
58,0.014309,0.010777,0.985691,0.989223,22.05,26.15,5659067,5802024,78122,60372
59,0.015405,0.011524,0.984595,0.988476,21.37,25.43,5445726,5557433,82598,63125
60,0.016604,0.012311,0.983396,0.987689,20.71,24.73,5178112,5262887,91283,68674
61,0.017867,0.013102,0.982133,0.986898,20.06,24.04,4937742,5025040,85636,64309
62,0.019201,0.013903,0.980799,0.986097,19.42,23.36,4611495,4693607,87248,64105
63,0.020585,0.014711,0.979415,0.985289,18.8,22.69,4228161,4285515,86090,62162
64,0.021962,0.015496,0.978038,0.984504,18.2,22.02,3944298,3973686,92484,66006
65,0.023274,0.016229,0.976726,0.983771,17.61,21.37,3688748,3691288,83889,58070
66,0.024568,0.016951,0.975432,0.983049,17.03,20.72,3452592,3413689,82397,56171
67,0.025899,0.017697,0.974101,0.982303,16.45,20.08,3247337,3208087,83398,56476
68,0.027284,0.018466,0.972716,0.981534,15.89,19.44,3012159,3021986,87341,59343
69,0.028732,0.019257,0.971268,0.980743,15.34,18.81,2713653,2791185,75542,52638
70,0.030301,0.020115,0.969699,0.979885,14.79,18.18,2412053,2567840,69885,49443
71,0.032002,0.021067,0.967998,0.978933,14.25,17.55,2135572,2387844,67424,49090
72,0.033755,0.022084,0.966245,0.977916,13.73,16.93,1908155,2224552,71179,53802
73,0.035455,0.023111,0.964545,0.976889,13.2,16.31,1699334,2034525,58720,46164
74,0.037098,0.024162,0.962902,0.975838,12.69,15.7,1544224,1876813,55527,43890
75,0.038713,0.025266,0.961287,0.974734,12.18,15.09,1489103,1801880,55477,43897
76,0.040318,0.026431,0.959682,0.973569,11.67,14.48,1441776,1718129,62974,49333
77,0.041931,0.02766,0.958069,0.97234,11.16,13.87,1341393,1602456,56532,44656
78,0.043665,0.029022,0.956335,0.970978,10.65,13.26,1268452,1517906,52910,42105
79,0.045679,0.030617,0.954321,0.969383,10.13,12.66,1174561,1421191,53299,42552
80,0.048105,0.032506,0.951895,0.967494,9.62,12.06,1012815,1258504,50331,41779
81,0.051056,0.034703,0.948944,0.965297,9.11,11.47,870874,1124985,42255,37619
82,0.054637,0.037204,0.945363,0.962796,8.6,10.88,735488,972780,37796,35663
83,0.058904,0.039987,0.941096,0.960013,8.09,10.3,592105,818580,30902,30209
84,0.063869,0.043043,0.936131,0.956957,7.6,9.73,506748,721245,29440,29913
85,0.069532,0.046397,0.930468,0.953603,7.12,9.16,444484,645024,23777,25017
86,0.075921,0.050129,0.924079,0.949871,6.65,8.61,393011,578007,21497,23724
87,0.083101,0.054368,0.916899,0.945632,6.19,8.06,355259,516269,19960,22451
88,0.091181,0.05927,0.908819,0.94073,5.76,7.53,325513,459238,18729,20206
89,0.100295,0.065021,0.899705,0.934979,5.33,7.0,289147,400056,16144,17128
90,0.11059,0.07182,0.88941,0.92818,4.93,6.49,249966,337271,13730,13761
91,0.122198,0.079865,0.877802,0.920135,4.54,5.99,214246,282613,12961,13024
92,0.13522,0.089331,0.86478,0.910669,4.17,5.51,162923,205336,11928,11820
93,0.149714,0.100354,0.850286,0.899646,3.83,5.05,119403,145346,7621,6934
94,0.165699,0.113024,0.834301,0.886976,3.5,4.62,98780,122482,6659,5993
95,0.183166,0.127397,0.816834,0.872603,3.19,4.2,78581,101672,5435,4807
96,0.202084,0.143499,0.797916,0.856501,2.91,3.82,62829,84623,4654,4419
97,0.222408,0.161346,0.777592,0.838654,2.65,3.46,50144,68352,3381,3360
98,0.244075,0.180955,0.755925,0.819045,2.41,3.12,39235,54275,2201,2232
99,0.267009,0.202353,0.732991,0.797647,2.18,2.81,29655,41748,1675,1929
100,0.291119,0.225572,0.708881,0.774428,1.98,2.53,21425,30693,1241,1456
101,0.316297,0.250649,0.683703,0.749351,1.79,2.26,15220,22816,923,1227
102,0.342423,0.277614,0.657577,0.722386,1.62,2.02,9030,13655,615,887
103,0.369364,0.306485,0.630636,0.693515,1.46,1.8,5099,7751,295,423
104,0.396967,0.337265,0.603033,0.662735,1.32,1.59,3915,6267,268,376
105,0.425069,0.36994,0.574931,0.63006,1.18,1.4,3231,5519,168,228
106,0.453489,0.404473,0.546511,0.595527,1.06,1.22,2705,4738,138,223
107,0.482033,0.440808,0.517967,0.559192,0.94,1.05,2031,3499,100,160
108,0.510493,0.478863,0.489507,0.521137,0.81,0.88,1490,2484,88,144
109,0.538649,0.518532,0.461351,0.481468,0.66,0.69,922,1508,78,102
110,0.566271,0.559684,0.433729,0.440316,0.43,0.44,275,425,37,70
111,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1
