Sektor,Rata-rata Gaji Tahunan,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Pertanian, Kehutanan, dan Perikanan",1265700,1542341,1761803,1824738,2041145,1989195,1951747,2081590,2218558,2321879,2393809
Pertambangan dan Penggalian,3610765,4222708,4358002,4381899,4902251,4788831,4312355,4571895,4693515,5086714,5034904
Industri Pengolahan,1730596,2180973,2547268,2591425,2748055,2726340,2767730,2918070,3083971,3136317,3180362
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2710527,3136878,4023235,3495366,3902034,3861682,3913233,4549862,4309407,4842654,5056759
"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",1537601,2336472,3180252,2754096,2498009,2574084,2677455,2703749,2879474,2820729,2870748
Konstruksi,1992009,2284244,2498492,2675308,2820223,2875817,2777721,2978779,3097507,3119598,3222022
Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1624199,1939354,2218325,2275690,2390998,2396959,2367568,2583378,2641224,2695464,2753458
Pengangkutan dan Pergudangan,2393542,2826662,3166846,3213703,3506804,3374436,3140168,3507921,3688447,3804552,3907307
Penyediaan Akomodasi dan Penyedia Makan Minum,1614793,1880977,2131028,2170725,2304219,2108790,1964341,2217520,2285155,2340218,2485804
Informasi dan Komunikasi,3668831,3542343,4304503,4064805,4181070,4009323,4089313,4953131,4745865,4860097,4705177
Aktivitas Keuangan dan Asuransi,3197938,3570056,4103617,4255213,4176326,4149925,4140023,4930394,4960740,5119546,4997320
Real Estat,2858659,3821336,3196408,3333105,3687856,3410555,3553907,4308920,4540289,4305720,4220935
Aktivitas Profesional dan Perusahaan,2579960,2884042,3394436,3324501,3362435,3369898,3201338,3719069,3796657,3934853,4113422
"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",3110689,3335824,3932615,3838691,3871793,3886064,3906484,3901164,3923594,3912832,4092704
Pendidikan,2281831,2497251,2829213,2765685,2703010,2707389,2639597,2602691,2589233,2851052,2922443
Aktivitas Kesehatan dan Kegiatan Sosial,2659361,2648932,3095694,3161584,3376769,3317490,3325876,3496223,3613930,3576257,3583170
Aktivitas Jasa Lainnya,1027110,1368252,1580456,1532475,1724500,1700998,1654347,1783298,1829757,1868656,1888319
Rata-Rata,2025516,2366770,2722606,2741600,2852707,2836921,2798547,2981647,3061384,3154169,3212915
,,,,,,,,,,,
,,,,,,,,,,,
Kode Sektor,Deskripsi Lapangan Pekerjaan Utama,,,,,,,,,,
A,"Pertanian, Kehutanan, dan Perikanan",,,,,,,,,,
B,Pertambangan dan Penggalian,,,,,,,,,,
C,Industri Pengolahan,,,,,,,,,,
D,"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",,,,,,,,,,
E,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",,,,,,,,,,
F,Konstruksi,,,,,,,,,,
G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,,,,,,,,,,
H,Pengangkutan dan Pergudangan,,,,,,,,,,
I,Penyediaan Akomodasi dan Penyedia Makan Minum,,,,,,,,,,
J,Informasi dan Komunikasi,,,,,,,,,,
K,Aktivitas Keuangan dan Asuransi,,,,,,,,,,
L,Real Estat,,,,,,,,,,
"M, N",Aktivitas Profesional dan Perusahaan,,,,,,,,,,
O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",,,,,,,,,,
P,Pendidikan,,,,,,,,,,
Q,Aktivitas Kesehatan dan Kegiatan Sosial,,,,,,,,,,
"R, S, T, U",Aktivitas Jasa Lainnya,,,,,,,,,,
